,a,b,c
0,3,4,5.0
1,6,8,10.0
2,5,12,13.0
3,9,12,15.0
4,8,15,17.0
5,12,16,20.0
6,15,20,25.0
7,20,21,29.0
8,7,24,25.0
9,10,24,26.0
10,18,24,30.0
11,21,28,35.0
12,16,30,34.0
13,24,32,40.0
14,12,35,37.0
15,15,36,39.0
16,27,36,45.0
17,9,40,41.0
18,30,40,50.0
19,40,42,58.0
20,33,44,55.0
21,24,45,51.0
22,28,45,53.0
23,14,48,50.0
24,20,48,52.0
25,36,48,60.0
26,39,52,65.0
27,48,55,73.0
28,33,56,65.0
29,42,56,70.0
30,11,60,61.0
31,25,60,65.0
32,32,60,68.0
33,45,60,75.0
34,16,63,65.0
35,60,63,87.0
36,48,64,80.0
37,51,68,85.0
38,24,70,74.0
39,21,72,75.0
40,30,72,78.0
41,54,72,90.0
42,65,72,97.0
43,40,75,85.0
44,57,76,95.0
45,36,77,85.0
46,18,80,82.0
47,39,80,89.0
48,60,80,100.0
49,13,84,85.0
50,35,84,91.0
51,63,84,105.0
52,80,84,116.0
53,66,88,110.0
54,48,90,102.0
55,56,90,106.0
56,60,91,109.0
57,69,92,115.0
58,28,96,100.0
59,40,96,104.0
60,72,96,120.0
61,20,99,101.0
62,75,100,125.0
63,78,104,130.0
64,36,105,111.0
65,56,105,119.0
66,88,105,137.0
67,100,105,145.0
68,45,108,117.0
69,81,108,135.0
70,96,110,146.0
71,15,112,113.0
72,66,112,130.0
73,84,112,140.0
74,87,116,145.0
75,44,117,125.0
76,22,120,122.0
77,27,120,123.0
78,35,120,125.0
79,50,120,130.0
80,64,120,136.0
81,90,120,150.0
82,119,120,169.0
83,93,124,155.0
84,32,126,130.0
85,120,126,174.0
86,96,128,160.0
87,55,132,143.0
88,85,132,157.0
89,99,132,165.0
90,72,135,153.0
91,84,135,159.0
92,102,136,170.0
93,48,140,148.0
94,51,140,149.0
95,105,140,175.0
96,24,143,145.0
97,17,144,145.0
98,42,144,150.0
99,60,144,156.0
100,108,144,180.0
101,130,144,194.0
102,140,147,203.0
103,111,148,185.0
104,80,150,170.0
105,114,152,190.0
106,104,153,185.0
107,72,154,170.0
108,65,156,169.0
109,117,156,195.0
110,133,156,205.0
111,36,160,164.0
112,78,160,178.0
113,120,160,200.0
114,123,164,205.0
115,52,165,173.0
116,88,165,187.0
117,144,165,219.0
118,26,168,170.0
119,49,168,175.0
120,70,168,182.0
121,95,168,193.0
122,99,168,195.0
123,126,168,210.0
124,160,168,232.0
125,140,171,221.0
126,129,172,215.0
127,60,175,185.0
128,57,176,185.0
129,132,176,220.0
130,19,180,181.0
131,33,180,183.0
132,75,180,195.0
133,96,180,204.0
134,112,180,212.0
135,135,180,225.0
136,120,182,218.0
137,138,184,230.0
138,84,187,205.0
139,141,188,235.0
140,48,189,195.0
141,180,189,261.0
142,56,192,200.0
143,80,192,208.0
144,144,192,240.0
145,28,195,197.0
146,104,195,221.0
147,147,196,245.0
148,40,198,202.0
149,45,200,205.0
150,150,200,250.0
151,85,204,221.0
152,153,204,255.0
153,105,208,233.0
154,156,208,260.0
155,120,209,241.0
156,72,210,222.0
157,112,210,238.0
158,176,210,274.0
159,200,210,290.0
160,159,212,265.0
161,63,216,225.0
162,90,216,234.0
163,162,216,270.0
164,195,216,291.0
165,21,220,221.0
166,165,220,275.0
167,192,220,292.0
168,60,221,229.0
169,30,224,226.0
170,132,224,260.0
171,168,224,280.0
172,207,224,305.0
173,120,225,255.0
174,140,225,265.0
175,95,228,247.0
176,171,228,285.0
177,108,231,255.0
178,160,231,281.0
179,220,231,319.0
180,174,232,290.0
181,88,234,250.0
182,177,236,295.0
183,44,240,244.0
184,54,240,246.0
185,70,240,250.0
186,100,240,260.0
187,117,240,267.0
188,128,240,272.0
189,161,240,289.0
190,180,240,300.0
191,238,240,338.0
192,183,244,305.0
193,84,245,259.0
194,96,247,265.0
195,186,248,310.0
196,39,252,255.0
197,64,252,260.0
198,105,252,273.0
199,115,252,277.0
200,189,252,315.0
201,240,252,348.0
202,204,253,325.0
203,32,255,257.0
204,136,255,289.0
205,192,256,320.0
206,69,260,269.0
207,195,260,325.0
208,23,264,265.0
209,77,264,275.0
210,110,264,286.0
211,170,264,314.0
212,198,264,330.0
213,201,268,335.0
214,144,270,306.0
215,168,270,318.0
216,204,272,340.0
217,225,272,353.0
218,136,273,305.0
219,180,273,327.0
220,260,273,377.0
221,240,275,365.0
222,252,275,373.0
223,115,276,299.0
224,207,276,345.0
225,63,280,287.0
226,96,280,296.0
227,102,280,298.0
228,165,280,325.0
229,210,280,350.0
230,213,284,355.0
231,68,285,293.0
232,152,285,323.0
233,48,286,290.0
234,34,288,290.0
235,84,288,300.0
236,120,288,312.0
237,175,288,337.0
238,216,288,360.0
239,260,288,388.0
240,219,292,365.0
241,280,294,406.0
242,222,296,370.0
243,60,297,303.0
244,180,299,349.0
245,55,300,305.0
246,125,300,325.0
247,160,300,340.0
248,225,300,375.0
249,228,304,380.0
250,297,304,425.0
251,208,306,370.0
252,75,308,317.0
253,144,308,340.0
254,231,308,385.0
255,25,312,313.0
256,91,312,325.0
257,130,312,338.0
258,234,312,390.0
259,266,312,410.0
260,80,315,325.0
261,108,315,333.0
262,168,315,357.0
263,196,315,371.0
264,264,315,411.0
265,300,315,435.0
266,237,316,395.0
267,72,320,328.0
268,156,320,356.0
269,240,320,400.0
270,36,323,325.0
271,135,324,351.0
272,243,324,405.0
273,228,325,397.0
274,246,328,410.0
275,104,330,346.0
276,176,330,374.0
277,288,330,438.0
278,249,332,415.0
279,45,336,339.0
280,52,336,340.0
281,98,336,350.0
282,140,336,364.0
283,190,336,386.0
284,198,336,390.0
285,252,336,420.0
286,320,336,464.0
287,189,340,389.0
288,255,340,425.0
289,280,342,442.0
290,258,344,430.0
291,152,345,377.0
292,184,345,391.0
293,145,348,377.0
294,261,348,435.0
295,120,350,370.0
296,132,351,375.0
297,280,351,449.0
298,114,352,370.0
299,135,352,377.0
300,264,352,440.0
301,267,356,445.0
302,76,357,365.0
303,340,357,493.0
304,38,360,362.0
305,66,360,366.0
306,81,360,369.0
307,105,360,375.0
308,150,360,390.0
309,192,360,408.0
310,224,360,424.0
311,270,360,450.0
312,319,360,481.0
313,325,360,485.0
314,357,360,507.0
315,27,364,365.0
316,240,364,436.0
317,273,364,455.0
318,276,368,460.0
319,155,372,403.0
320,279,372,465.0
321,168,374,410.0
322,200,375,425.0
323,282,376,470.0
324,336,377,505.0
325,96,378,390.0
326,360,378,522.0
327,261,380,461.0
328,285,380,475.0
329,112,384,400.0
330,160,384,416.0
331,288,384,480.0
332,132,385,407.0
333,180,385,425.0
334,336,385,511.0
335,291,388,485.0
336,56,390,394.0
337,208,390,442.0
338,120,391,409.0
339,231,392,455.0
340,294,392,490.0
341,80,396,404.0
342,165,396,429.0
343,203,396,445.0
344,255,396,471.0
345,297,396,495.0
346,40,399,401.0
347,380,399,551.0
